opis,opis_code,delo,portal_id,name,pages,expected,status
Опись 1,1,0085,85,"Статья К.Э. Циолковского ""Парогазовый турбинный мотор для дирижаблей, аэропланов, стратопланов, автомобилей и др. целей"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",46,46,ok
Опись 1,1,0086,86,"Статья К.Э. Циолковского ""Звездолет с предшествующими ему машинами"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",116,116,ok
Опись 1,1,0087,87,"Рисунки К.Э. Циолковского ""Межпланетные путешествия"" и объяснения для кинофильма. Вид материала: рисунки Способ воспроизведения: автограф Языки: русский",37,37,ok
Опись 1,1,0088,88,"Перечень картин К.Э. Циолковского, иллюстрирующих межпланетные путешествия с помощью ракеты и жизнь вне Земли, в Совкино. Надписи к картинам и замечания. Вид материала: замечания, надписи к картинам Способ воспроизведения: автограф, машинопись Языки: русский",16,16,ok
Опись 1,1,0089,89,"Таблицы К.Э. Циолковского ""Явление на астероидах"" для кинофильма. Вид материала: таблицы Способ воспроизведения: автограф Языки: русский",7,7,ok
Опись 1,1,0090,90,"Таблицы К.Э. Циолковского ""Явление на планетах и больших спутниках"" для кинофильма. Вид материала: таблицы Способ воспроизведения: автограф Языки: русский",9,9,ok
Опись 1,1,0091,91,"Схемы К.Э. Циолковского, схематические изображения планет солнечной системы, расстояние между ними, силы притяжения и др. для кинофильма. Вид материала: схемы Способ воспроизведения: автограф Языки: русский",9,9,ok
Опись 1,1,0092,92,"Масштабные таблицы размеров и схематические рисунки человеческого тела К.Э. Циолковского ""Тело. [Куклы]"" для кинофильма. Вид материала: рисунки, таблицы Способ воспроизведения: автограф Языки: русский",16,16,ok
Опись 1,1,0093,93,"Статья К.Э. Циолковского ""Снаряды, приобретающие космические скорости на суше или воде"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",32,32,ok
Опись 1,1,0094,94,"План К.Э. Циолковского к описанию путешествия на ракете вне Земли для кинофильма. Вид материала: план Способ воспроизведения: автограф Языки: русский, французский",6,6,ok
Опись 1,1,0095,95,"Конспект статьи К.Э. Циолковского ""Полеты в атмосфере и вне её"". Вид материала: конспект статьи Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",27,27,ok
Опись 1,1,0096,96,"Набросок программы работ К.Э. Циолковского в РНИИ [Реактивном научно-исследовательском Институте]. Вид материала: набросок Способ воспроизведения: автограф Языки: русский, французский",4,4,ok
Опись 1,1,0097,97,"Отрывок К.Э. Циолковского ""Небольшая колония кругом Земли"". Вид материала: отрывок Способ воспроизведения: автограф Языки: русский",14,14,ok
Опись 1,1,0098,98,"Статья К.Э. Циолковского ""Аэропланы и стратопланы"" [не окончена]. Вид материала: статья Способ воспроизведения: автограф Языки: русский",6,6,ok
Опись 1,1,0099,99,Формулы газовых машин К.Э. Циолковского. [К работе Основы построения]. Вид материала: формулы Способ воспроизведения: автограф Языки: русский,8,8,ok
Опись 1,1,0100,100,"Статья К.Э. Циолковского ""Мощные моторы наименьшего веса и объема"" [часть работы ""Основы построения""]. Вид материала: статья Способ воспроизведения: автограф Языки: русский",22,22,ok
Опись 1,1,0101,101,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава I. Сжатие и расширение газов. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",320,320,ok
Опись 1,1,0102,102,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава II. Давление нормального потока на плоскость. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",147,147,ok
Опись 1,1,0103,103,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава III. Трение в газах. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",96,96,ok
Опись 1,1,0104,104,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VII. Наибольшая скорость вращения тел и запас их механической энергии. Фрагменты работы. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",55,55,ok
Опись 1,1,0105,105,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава Х. Наибольшая скорость ракеты. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",123,123,ok
Опись 1,1,0106,106,"Статья К.Э. Циолковского ""Применение реактивных приборов к исследованию стратосферы"" [не окончена]. Вид материала: статья Способ воспроизведения: автограф, машинопись Языки: русский",31,31,ok
Опись 1,1,0107,107,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава IV. Сопротивление газовой среды движению плавных птицеподобных тел. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",132,132,ok
Опись 1,1,0108,108,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VI. Энергия химического соединения веществ и выбор составных частей взрыва. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",38,38,ok
Опись 1,1,0109,109,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава XI. Грубый расчет полета ракетоплана. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",74,74,ok
Опись 1,1,0110,110,"Статья К.Э. Циолковского ""Вообще о двигателях, пригодных к полетам"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",4,4,ok
Опись 1,1,0111,111,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VIII - IX. Новые двигатели двух типов [Два типа моторов]. Черновые материалы. Вид материала: материалы, черновые материалы Способ воспроизведения: автограф Языки: русский",190,190,ok
