portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
609,2,0012,01.12.1934,1934,1934,0,предисловие,"автограф, машинопись с правкой автора"
610,2,0013,январь 1935,1935,1935,0,автобиография,"автограф, машинопись с правкой автора"
611,2,0014,январь 1935,1935,1935,0,автобиография,машинопись с правкой автора
612,2,0015,январь 1935,1935,1935,0,записки,машинопись с правкой автора
613,2,0016,26.02.1935 - 28.02.1935,1935,1935,0,письмо,"автограф, машинопись с правкой автора"
614,2,0016а,22.09.1932,1932,1932,0,замечания к статье,автограф
615,2,0017,не ранее 1934,1934,1934,0,предисловие,"автограф, машинопись с правкой автора"
616,2,0018,[1918] - [1919],1918,1919,1,послужной список,автограф
617,2,0019,24.06.1917,1917,1917,0,ходатайство,машинопись
618,2,0020,01.05.1921 - 29.08.1934,1921,1934,0,"анкета, заявление","автограф, машинопись"
619,2,0021,[1933],1933,1933,1,библиография,машинопись
620,2,0022,05.06.1914 - 10.05.1929,1914,1929,0,письма,"машинопись, рукопись"
621,2,0023,1927 - 1933,1927,1933,0,письма,машинопись
622,2,0024,26.10.1927 - 30.08.1930,1927,1930,0,"бюллетень, извещения, письма","машинопись, рукопись"
623,2,0025,21.03.1928 - 30.03.1928,1928,1928,0,извещения,"машинопись, рукопись"
624,2,0028,б/д,,,0,телеграмма,Языки: русский
625,2,0029,24.10.1932 - 28.10.1932,1932,1932,0,поздравление,"машинопись, рукопись"
626,2,0030,01.07.1932 - 17.10.1932,1932,1932,0,"выписки, обращение",машинопись
627,2,0031,30.04.1917,1917,1917,0,приглашение,рукопись
628,2,0032,27.12.1910 - 16.09.1921,1910,1921,0,извещения,"машинопись, рукопись"
629,2,0033,21.07.1924,1924,1924,0,письмо,рукопись
630,2,0034,14.07.1924,1924,1924,0,письмо,рукопись
631,2,0035,[1928],1928,1928,1,телеграмма,Языки: русский
632,2,0036,30.03.1928,1928,1928,0,письмо,"машинопись, рукопись"
633,2,0037,20.06.1934,1934,1934,0,письмо,машинопись
634,2,0038,[1927],1927,1927,1,письма,машинопись
635,2,0039,б/д,,,0,телеграмма,Языки: русский
636,2,0040,02.09.1915 - 29.10.1919,1915,1919,0,"адреса, выписки",автограф
637,2,0041,10.06.1922 - 07.09.1923,1922,1923,0,"заметки, записи",автограф
638,2,0042,09.10.1922 - 08.12.1923,1922,1923,0,"записи, расписки",автограф
639,2,0043,10.09.1923 - 19.12.1923,1923,1923,0,"вычисления, заметки",автограф
640,2,0044,04.08.1924 - 02.12.1925,1924,1925,0,выписки,автограф
641,2,0045,03.11.1925 - 24.03.1934,1925,1934,0,записи,автограф
642,2,0046,01.03.1927 - 18.07.1930,1927,1930,0,письма,автограф
643,2,0047,21.04.1927 - 03.08.1928,1927,1928,0,"адреса, выписки, записи",автограф
644,2,0048,15.03.1928 - 14.03.1932,1928,1932,0,адреса,автограф
645,2,0049,23.09.1930 - 17.09.1932,1930,1932,0,адреса,автограф
646,2,0050,01.01.1931 - 18.08.1933,1931,1933,0,"адреса, расчёты",автограф
647,2,0051,07.04.1932 - 22.08.1935,1932,1935,0,"адреса, записи",автограф
648,2,0052,1932 - 26.07.1935,1932,1935,0,записи,автограф
649,2,0053,14.09.1933,1933,1933,0,адреса,автограф
650,2,0054,05.03.1934 - 18.08.1935,1934,1935,0,"адреса, заметки",автограф
651,2,0056,20.06.1935,1935,1935,0,письмо,"автограф, машинопись"
652,2,0057,б/д,,,0,надписи,машинопись
653,2,0058,1910 - 1916,1910,1916,0,"заметки, статьи",газетные вырезки
654,2,0059,1897 - 1935,1897,1935,0,"заметки, статьи",газетные вырезки
655,2,0060,17.06.1917 - 24.06.1931,1917,1931,0,выписки,"автограф, машинопись"
656,2,0061,сентябрь 1920,1920,1920,0,письмо,"автограф, машинопись"
657,2,0062,29.01.1921,1921,1921,0,письмо,машинопись
658,2,0063,04.10.1921 - 06.11.1921,1921,1921,0,выписка,"автограф, машинопись"
659,2,0064,11.04.1922,1922,1922,0,описание,автограф
660,2,0065,06.03.1928,1928,1928,0,письмо,автограф
661,2,0066,22.04.1931,1931,1931,0,письмо,машинопись
662,2,0067,06.06.1931,1931,1931,0,письмо,автограф
663,2,0068,17.05.1931 - 14.10.1932,1931,1932,0,письма,автограф
664,2,0069,07.07.1932 - 15.09.1933,1932,1933,0,доверенности,машинопись
665,2,0070,не ранее 1932,1932,1932,0,письмо,машинопись
666,2,0071,05.02.1931,1931,1931,0,письмо,"автограф, машинопись"
667,2,0072,18.03.1931 - 26.03.1931,1931,1931,0,письмо,"автограф, машинопись"
668,2,0073,29.04.1931 - 08.04.1933,1931,1933,0,"выписка, заявление","автограф, машинопись"
669,2,0074,01.05.1935,1935,1935,0,завещание,машинопись
670,2,0075,23.09.1934 - 16.07.1935,1934,1935,0,письма,"автограф, машинопись"
671,2,0076,б/д,,,0,калькуляция,автограф
672,2,0077,б/д,,,0,подписной лист,автограф
673,2,0077а,б/д,,,0,очерк,машинопись
