opis,delo,pages_expected,status,title,source_url
Опись 4,783,5,ok,"Письмо Константина Васильевича Глазкова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1794
Опись 4,784,3,ok,"Письмо Ивана Сергеевича Гнезднёва к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1795
Опись 4,785,4,ok,"Письмо А.М. Година к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1796
Опись 4,786,4,ok,"Письмо заведующего метеорологической станцией Н.Б. Голенкевича к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1797
Опись 4,787,5,ok,"Письмо Л. Головина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1798
Опись 4,788,5,ok,"Письмо Т.А. Головинова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1799
Опись 4,789,4,ok,"Письмо школьника Вадима Голубцова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1800
Опись 4,790,3,ok,"Письмо С.М. Гоухберга к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1801
Опись 4,791,5,ok,"Письмо Н.А. Громова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1802
Опись 4,792,3,ok,"Письмо В. Грязнова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1803
Опись 4,793,3,ok,"Письмо В. Данилина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1804
Опись 4,794,3,ok,"Письмо школьника И. Дебольского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1805
Опись 4,795,4,ok,"Письмо инспектора Госстраха П.Я. Демидова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1806
Опись 4,796,5,ok,"Письмо Н. Денисова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1807
