delo,hand,typed,words_hand,words_typed,ratio,longest_run
delo_0074,073,024,217,261,0.473,19
delo_0074,049,018,240,276,0.469,12
delo_0074,075,024,218,261,0.468,20
delo_0074,051,024,231,261,0.467,13
delo_0116,014,023,221,218,0.465,18
delo_0046,043,083,148,338,0.449,21
delo_0071,012,091,271,263,0.449,24
delo_0105,032,090,99,207,0.444,10
delo_0046,071,093,103,214,0.442,9
delo_0283,023,059,80,189,0.439,13
delo_0109,031,019,185,226,0.438,23
delo_0283,017,056,102,206,0.435,11
delo_0283,030,062,84,198,0.433,14
delo_0116,007,038,49,127,0.432,15
delo_0046,173,093,103,214,0.423,9
delo_0116,001,048,100,199,0.421,17
delo_0067,050,045,367,306,0.419,10
delo_0046,140,083,140,338,0.418,15
delo_0114,001,016,104,237,0.416,14
delo_0046,160,088,122,326,0.415,14
delo_0046,118,075,111,295,0.414,13
delo_0283,012,054,94,197,0.412,15
delo_0071,014,109,109,222,0.411,43
delo_0283,027,061,91,206,0.411,16
delo_0071,002,102,229,246,0.408,18
delo_0046,018,073,106,269,0.405,9
delo_0046,127,078,110,321,0.404,18
delo_0283,024,059,88,189,0.404,18
delo_0046,163,089,99,253,0.403,27
delo_0046,171,092,95,282,0.403,31
delo_0084,102,074,98,170,0.403,11
delo_0115,005,016,79,225,0.401,13
delo_0046,066,091,125,311,0.399,13
delo_0084,098,133,98,161,0.394,6
delo_0114,012,018,100,245,0.394,18
delo_0046,020,074,128,321,0.392,14
delo_0104,030,016,66,164,0.391,15
delo_0104,032,016,66,164,0.391,15
delo_0104,033,016,61,164,0.391,10
delo_0283,028,061,82,206,0.389,10
delo_0046,032,078,122,321,0.388,15
delo_0046,119,075,112,295,0.388,11
delo_0067,035,037,137,198,0.388,5
delo_0105,030,109,81,177,0.388,8
delo_0046,061,089,104,253,0.387,17
delo_0115,003,020,86,204,0.386,10
delo_0046,069,092,95,282,0.382,18
delo_0046,126,078,129,321,0.382,14
delo_0046,162,089,103,253,0.382,11
delo_0046,133,079,123,324,0.38,10
delo_0199,009,035,176,199,0.379,34
delo_0105,017,065,101,191,0.377,7
delo_0283,026,060,95,202,0.377,8
delo_0046,023,075,115,295,0.376,9
delo_0109,003,032,77,201,0.374,8
delo_0116,002,029,82,203,0.372,13
delo_0283,009,053,66,166,0.371,9
delo_0283,033,063,75,205,0.371,14
delo_0046,031,078,124,321,0.369,12
delo_0046,174,093,96,214,0.368,15
delo_0046,024,075,108,295,0.367,10
delo_0283,021,058,81,197,0.367,11
delo_0046,065,091,111,311,0.365,14
delo_0283,005,051,60,159,0.365,9
delo_0046,167,091,117,311,0.364,12
delo_0046,036,079,117,324,0.363,9
delo_0105,026,089,88,237,0.363,12
delo_0109,018,060,57,153,0.362,11
delo_0046,144,084,102,342,0.36,28
delo_0105,036,071,74,215,0.36,7
delo_0115,002,020,96,204,0.36,6
delo_0283,022,058,103,197,0.36,10
delo_0105,005,102,68,178,0.358,15
delo_0105,056,117,65,159,0.357,10
delo_0105,034,071,84,215,0.355,12
delo_0046,168,091,122,311,0.351,13
delo_0046,154,086,135,368,0.35,12
delo_0071,006,106,103,217,0.35,7
delo_0283,008,052,75,173,0.347,6
delo_0046,062,090,128,357,0.346,8
delo_0046,063,090,132,357,0.344,12
delo_0115,004,012,91,217,0.344,17
delo_0046,159,088,108,326,0.341,13
delo_0105,027,108,78,227,0.341,16
delo_0083,003,006,114,215,0.34,5
delo_0283,014,055,70,212,0.34,16
delo_0046,052,086,129,368,0.338,11
delo_0046,156,087,118,380,0.337,11
delo_0046,164,090,129,357,0.337,10
delo_0046,165,090,147,357,0.337,6
delo_0046,115,074,119,321,0.336,10
delo_0105,023,087,59,168,0.335,8
delo_0046,113,073,110,269,0.332,14
delo_0535,020,041,95,242,0.332,11
delo_0114,015,019,75,191,0.331,9
delo_0283,001,050,77,159,0.331,10
delo_0283,019,057,90,206,0.331,5
delo_0046,017,073,96,269,0.329,8
delo_0046,042,083,109,338,0.327,9
